Neighborhood,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,Fireplaces,YearBuilt,YrSold,SaleCondition,SalePrice
CollgCr,856,854,3,1,2,1,0,2003,2008,Normal,208500
Veenker,1262,0,3,1,2,0,1,1976,2007,Normal,181500
CollgCr,920,866,3,1,2,1,1,2001,2008,Normal,223500
Crawfor,961,756,3,1,1,0,1,1915,2006,Abnorml,140000
NoRidge,1145,1053,4,1,2,1,1,2000,2008,Normal,250000
Mitchel,796,566,1,1,1,1,0,1993,2009,Normal,143000
Somerst,1694,0,3,1,2,0,1,2004,2007,Normal,307000
NWAmes,1107,983,3,1,2,1,2,1973,2009,Normal,200000
OldTown,1022,752,2,2,2,0,2,1931,2008,Abnorml,129900
BrkSide,1077,0,2,2,1,0,2,1939,2008,Normal,118000
Sawyer,1040,0,3,1,1,0,0,1965,2008,Normal,129500
NridgHt,1182,1142,4,1,3,0,2,2005,2006,Partial,345000
Sawyer,912,0,2,1,1,0,0,1962,2008,Normal,144000
CollgCr,1494,0,3,1,2,0,1,2006,2007,Partial,279500
NAmes,1253,0,2,1,1,1,1,1960,2008,Normal,157000
BrkSide,854,0,2,1,1,0,0,1929,2007,Normal,132000
NAmes,1004,0,2,1,1,0,1,1970,2010,Normal,149000
Sawyer,1296,0,2,2,2,0,0,1967,2006,Normal,90000
SawyerW,1114,0,3,1,1,1,0,2004,2008,Normal,159000
NAmes,1339,0,3,1,1,0,0,1958,2009,Abnorml,139000
NridgHt,1158,1218,4,1,3,1,1,2005,2006,Partial,325300
IDOTRR,1108,0,3,1,1,0,1,1930,2007,Normal,139400
CollgCr,1795,0,3,1,2,0,1,2002,2008,Normal,230000
MeadowV,1060,0,3,1,1,0,1,1976,2007,Normal,129900
Sawyer,1060,0,3,1,1,0,1,1968,2010,Normal,154000
NridgHt,1600,0,3,1,2,0,1,2007,2009,Normal,256300
NAmes,900,0,3,1,1,0,0,1951,2010,Normal,134800
NridgHt,1704,0,3,1,2,0,1,2007,2010,Normal,306000
NAmes,1600,0,2,1,1,0,2,1957,2006,Normal,207500
BrkSide,520,0,1,1,1,0,0,1927,2008,Normal,68500
IDOTRR,649,668,3,1,1,0,0,1920,2008,Normal,40000
Sawyer,1228,0,3,1,1,1,0,1966,2008,Normal,149350
CollgCr,1234,0,3,1,2,0,0,2007,2008,Normal,179900
NAmes,1700,0,4,1,1,1,1,1959,2010,Normal,165500
NridgHt,1561,0,2,1,2,0,1,2005,2007,Normal,277500
NridgHt,1132,1320,4,1,3,1,1,2004,2006,Normal,309000
CollgCr,1097,0,3,1,1,1,0,1994,2009,Normal,145000
NAmes,1297,0,3,1,1,0,1,1954,2009,Normal,153000
NAmes,1057,0,3,1,1,0,0,1953,2010,Abnorml,109000
Edwards,1152,0,2,2,2,0,0,1955,2008,AdjLand,82000
NAmes,1324,0,3,1,2,0,1,1965,2006,Abnorml,160000
Timber,1328,0,2,1,1,1,2,1959,2007,Normal,170000
SawyerW,884,0,2,1,1,0,0,1983,2007,Normal,144000
CollgCr,938,0,3,1,1,0,0,1975,2008,Normal,130250
NAmes,1150,0,3,1,1,0,0,1959,2006,Normal,141000
NridgHt,1752,0,2,1,2,0,1,2005,2010,Normal,319900
Mitchel,1518,631,1,1,1,1,1,2003,2009,Abnorml,239686
Somerst,1656,0,3,1,2,0,0,2006,2007,Normal,249700
OldTown,736,716,2,3,2,0,0,1920,2009,Partial,113000
Sawyer,955,0,3,1,1,0,0,1966,2007,Normal,127000
Gilbert,794,676,3,1,2,0,0,1997,2007,Normal,177000
BrkSide,816,0,3,1,1,0,1,1934,2006,Normal,114500
IDOTRR,816,0,2,1,1,0,0,1963,2010,Normal,110000
Veenker,1842,0,0,1,0,1,1,1981,2006,Normal,385000
NAmes,1360,0,3,1,1,0,1,1955,2007,Normal,130000
NAmes,1425,0,3,1,2,0,1,1964,2008,Normal,180500
Somerst,983,756,3,1,2,1,0,1999,2009,Abnorml,172500
CollgCr,860,860,3,1,2,1,0,2004,2006,Normal,196500
StoneBr,1426,1519,3,1,3,1,1,2006,2006,Partial,438780
CollgCr,780,0,2,1,1,0,0,1972,2008,Normal,124900
SawyerW,1158,0,3,1,1,1,0,2004,2006,Partial,158000
