key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_dm,Tax Data Mart (DL),"<div><p>This schema contains ETL conformed and processed Turbo Tax data for the US product. Tables in this schema are produced by ETL as its target tables, and are used downstream for aggregations and dashboards.</p><h3 title=""Tables""><br></h3></div>",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A
tax_dm.lkp_customer_tto_orders,,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tta_product,Turbotax Advantage product Dimension,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,ksheth;amuthusamy1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.dim_sku_rollup,Dim Sku Rollup,<p>This is the vertica equivalent of ctg_analytics.dim_sku_rollup</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,smartha;gdoon,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.fact_as_standardized,Agent States Call Data,"<div><p>Call Data pertaining to Agent States from Amazon Connect.</p><p>This table shows every status an Agent enters, in a timestamped chronological order. As well as calculates durations, in seconds, spent in those specific statuses. Agent is identified by Login Username only, Queue Name and Routing Profile is included.</p><p><br></p></div>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.fact_mktg_proactive_saves_elc,fact_mktg_proactive_saves_elc,<p>Metrics for TurboTax Expected Life Changes (ELC) Widget.</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_dm.dim_tta_enrollment_item,,"<p>Turbotax Advantage Enrollment Item Dimension. For ER Model details, refer https://github.intuit.com/pages/DATA2/engg-data-model-repo/TTA-ERD/Content/Submodel_68f919f91f3648ccae809be9fdfdb435_img.htm</p>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,mmuthu;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.fact_tta_event,fact_tta_event,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.dim_tta_enrollment,Turbotax Advantage Enrollment dimension,"<p>For Model details about this table, refer https://github.intuit.com/pages/DATA2/engg-data-model-repo/TTA-ERD/Content/Submodel_68f919f91f3648ccae809be9fdfdb435_img.htm</p>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,mmuthu;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_dm.email_validation,Email Validation,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
