key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt,Tax Reporting,<p>This is US Turbotax data schema used to store tables produced by ETL processes. These tables are aggregates and reporting tables and are typically used to produce daily dashboards</p>,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A
tax_rpt.agent_details,Agent Details,<p>Agent Details for Agent Proficiency</p>,N/A,,null,,,crajendran1;rpal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agent_details_51346,Agent Details 51346,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agent_details_proficiency,Agent Details Proficiency,<p>The agent details proficiency query is the primary data source for all agent performance reporting. The query is built from multiple tables. The required tables are defined in the CTEs for the report.</p>,N/A,,null,,,crajendran1;rpal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agent_details_proficiency_51346,Agent Details Proficiency 51346,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_agent_level_call_transfer_metric,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_auth_bundle_upsell_cy_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_auth_bundle_upsell_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_auth_id_revenue,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_clickstream_auth_last_event,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_clickstream_ivid_last_event,agg_clickstream_ivid_last_event,<p>This table keeps track of the last event a particular ivid saw in the corresponding tax year from clickstream. This is currently filtered in the perspective of TAMV.</p>,N/A,,null,,,bcheung1;ollib783;rsenneseth,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_clickstream_ivid_tax_tool,agg_clickstream_ivid_tax_tool,<p>This table keeps track of aggregated taxtool metrics a particular ivid saw in the corresponding tax year from clickstream. This is currently filtered in the perspective of TAMV.</p>,N/A,,null,,,bcheung1;ollib783;sdhanakoti,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_customer_revenue,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_fs_clickstream_cte,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_full_service_clickstream,Aggregated Full Service Clickstream,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.agg_kochava_event,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_kochava_event_tax_rpt,,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.agg_marketing_analytics,agg_marketing_analytics,<p>Table for Aggregate marketing Analytics</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_marketing_analytics_delta,Aging Marketing Analytics Delta,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_marketing_analytics_delta_2019,Aging Marketing Analytics Delta 2019,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_marketing_analytics_delta_2020,Aging Marketing Analytics Delta 2020,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_marketing_analytics_parity,Aging Marketing Analytics Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.agg_user_care_case,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_analytics_base,Auth Analytics Base,<p>Base table for analyst layer auth analytics</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,avasquezlam;gnarayana,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_analytics_base_new,Auth Analytics Base New,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_analytics_base_parity,Auth Analytics Base Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_entitlement_daily,Auth Entitlement Daily,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_sku_changes,Auth Sku Changes,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.auth_source_records_daily,Auth Source Records Daily,<p>Table that tracks user data across multiple source systems. It has 2 main use cases: Serves as a component fact of daily active user metrics for TTO. Serves as a daily pipeline/source record triangulation. </p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.cases_uids,,"<p>Mapping for SF case to Amazon or ININ call sourced from SF logging, Amazon logging, and Pro Portal beaconing</p>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.ctg_care_call_auth_entitlement,Costing Care Call Auth Entitlement,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_call_auth_entitlement_bkp,Costing Care Call Auth Entitlement Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_call_auth_entitlement_snapshot,Costing Care Call Auth Entitlement Snapshot,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_case_auth_entitlement,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_cases_voc,Care cases Voice Of Customer,"<p>This table contains the metrics related to care cases, agents and the agent status(Active, Terminated, In Training,Nesting). Refer https://wiki.intuit.com/x/xAbJL  for details on how this table is populated</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,mchagnon,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_cct_interactions_vw,,"<div><p>ININ and Amazon Connect calls/interactions with agent and skill attributes; each record represents one offered count</p><p><br></p><p>view version- <a href=""https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions_vw.sql"">https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions_vw.sql</a></p><p>table version <a href=""https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions.sql"">https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions.sql</a></p><p><br></p><p><br></p></div>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.entitlement_windows,Entitlement Windows,<p>This table is part of the ttl daily activity pipeline</p>,N/A,,null,,,rkulkarni;pleslie1;aakolkar;lperry4,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.exec_dashboard_metric_values,exec_dashboard_metric_values,<p>This table stores the dimensions and aggregated metrics used in the Executive Dashboards.</p>,N/A,,null,,,mgalaviz;akulkarni8,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.fact_case_level_call_transfer_metric,Fact Case Level Call Transfer Metric,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.fi_mktg,Fi Marketing Table,<p>Fi Marketing Table</p>,N/A,,null,,,ssinha13,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.finance_analytics_report,Finance Analytics Report,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.kannan_cgde_48801,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics_master,Marketing Analytics Master,<p>Auth ID level table that assign marketing related attributes.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,rjohn1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics_master_parity,Marketing Analytics Master Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
