key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_src,Tax Source,<p>This schema contains source Turbo Tax data for the US product. This data is used in ETL processes for downstream consumption.</p>,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A
tax_src.dim_page_url_global,Dim Page Url Global,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.dim_user_agent_global,Dim User Agent Global,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.ecs_sm_tto_clickstream_watermark,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.dim_site_area_global,Dim Site Area Global,<p>This dimension table contains data tracking the area of the site that triggered a clickstream event. This table is a global table which is not partitioned and does not contain duplicates.</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,kliu2;tfayruzov,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.dim_geo_location_global,Dim Geo Location Global,<p>This dimension table contains geographical location data from clickstream. This table is a global table which is not partitioned and does not contain duplicates.</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,kliu2;tfayruzov,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.dim_campaign_global,Dim Campaign Global,"<div><p>This dimension table contains extracted data from campaign (or cid) values in clickstream. This table is a global table which is not partitioned and does not contain duplicates.</p><p>Wiki: <a href=""https://wiki.intuit.com/pages/viewpage.action?pageId=624559838"">https://wiki.intuit.com/pages/viewpage.action?pageId=624559838</a></p></div>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,kliu2;tfayruzov,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.fact_sku_selection,Fact Sku Selection,"<p>This table captures the Products (SKUs) selected, recommended to the customer on Turbo Tax.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.jc_ecs_sm_tto_auth_id_clickstream,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_sw_wfm_schedule_slot_stat,Service Swiped WFM Schedule Slot Stat,"<div><p><a href=""https://wiki.intuit.com/pages/viewpage.action?pageId=456742990"">https://wiki.intuit.com/pages/viewpage.action?pageId=456742990</a></p><p><br></p></div>",N/A,,null,,,crajendran1;rpal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
